Stack mode,⌃ ⌥ i,yabai -m space --layout stack;
Bsp mode,⌃ ⌥ o,yabai -m space --layout bsp;
Float mode,⌃ ⌥ p,yabai -m space --layout float;
Restart Yabai,⌃ ⌥ ⌘ r,command yabai --restart-service
Open terminal,⌘ space,/Applications/Alacritty.app/Contents/MacOS/alacritty -q
Open finder,⌃ ⌥ ⌘ return,open -n ~;
Open kindicover,⌃ ⌥ ⌘ 8,command code ~/Projects/KindiCover/kindicover.code-workspace
Open dotfiles,⌃ ⌥ ⌘ 9,command code ~/Projects/mydotfiles
Open System Preferences,⌃ ⌥ ⌘ 0,open -b com.apple.systempreferences
Magnet,⌃ ⌥ e,yabai -m window --grid 1:3:0:0:2:1
Magnet,⌃ ⌥ r,yabai -m window --grid 1:6:1:0:4:1
Magnet,⌃ ⌥ t,yabai -m window --grid 1:3:1:0:2:1
Magnet,⌃ ⌥ d,yabai -m window --grid 1:6:0:0:2:1
Magnet,⌃ ⌥ f,yabai -m window --grid 1:6:2:0:2:1
Magnet,⌃ ⌥ g,yabai -m window --grid 1:6:4:0:2:1
Magnet,⌃ ⌥ c,yabai -m window --grid 12:12:2:2:8:8
Magnet,⌃ ⌥ left,yabai -m window --grid 1:2:0:0:1:1
Magnet,⌃ ⌥ right,yabai -m window --grid 1:2:1:0:1:1
Prev window,⌃ ⌘ ⌥ left,yabai -m window --focus prev || yabai -m window --focus last
Next window,⌃ ⌘ ⌥ right,yabai -m window --focus next || yabai -m window --focus first
Prev stack window,⇧ ⌃ ⌥ left,yabai -m window --focus stack.prev || yabai -m window --focus stack.last
Next stack window,⇧ ⌃ ⌥ right,yabai -m window --focus stack.next || yabai -m window --focus stack.first
Next window,⌥ w,yabai -m window --focus next || yabai -m window --focus first
Next stack window,⌥ q,yabai -m window --focus stack.next || yabai -m window --focus stack.first
Moving windows,⇧ ⌥ h,yabai -m window --warp west
Moving windows,⇧ ⌥ j,yabai -m window --warp south
Moving windows,⇧ ⌥ k,yabai -m window --warp north
Moving windows,⇧ ⌥ l,yabai -m window --warp east
Float and center,⌥ t,yabai -m window --toggle float --grid 4:4:1:1:2:2
Toggle zoom,⌥ f,yabai -m window --toggle zoom-fullscreen
Resize left,⌃ ⌥ h,yabai -m window --resize left:-50:0; yabai -m window --resize right:-50:0
Resize bottom,⌃ ⌥ j,yabai -m window --resize bottom:0:50; yabai -m window --resize top:0:50
Resize top,⌃ ⌥ k,yabai -m window --resize top:0:-50; yabai -m window --resize bottom:0:-50
Resize right,⌃ ⌥ l,yabai -m window --resize right:50:0; yabai -m window --resize left:50:0
Balance size,⌥ d,yabai -m space --balance
Flip Y,⇧ ⌥ y,yabai -m space --mirror x-axis
Flip X,⇧ ⌥ x,yabai -m space --mirror y-axis
Toggle split,⇧ ⌥ e,yabai -m window --toggle split
Rotate anticlockwise,⌥ r,yabai -m space --rotate 270
rotate clockwise,⇧ ⌥ r,yabai -m space --rotate 90
Insert left,⇧ ⌃ ⌥ h,yabai -m window --insert west
Insert down,⇧ ⌃ ⌥ j,yabai -m window --insert south
Insert up,⇧ ⌃ ⌥ k,yabai -m window --insert north
Insert right,⇧ ⌃ ⌥ l,yabai -m window --insert east
Space recent,⌃ ⌥ down,yabai -m space --focus recent
Space left,⌃ left,yabai -m space --focus prev || yabai -m space --focus last
Space right,⌃ right,yabai -m space --focus next || yabai -m space --focus first
Space 1,⌃ 1,yabai -m space --focus 1
Space 2,⌃ 2,yabai -m space --focus 2
Space 3,⌃ 3,yabai -m space --focus 3
Space 4,⌃ 4,yabai -m space --focus 4
Space 5,⌃ 5,yabai -m space --focus 5
Space 6,⌃ 6,yabai -m space --focus 6
Space 7,⌃ 7,yabai -m space --focus 7
Space 8,⌃ 8,yabai -m space --focus 8
Send window to prev,⇧ ⌘ ⌥ left,yabai -m window --space prev --focus;
Send window to next,⇧ ⌘ ⌥ right,yabai -m window --space next --focus;
Send window to 1,⌃ ⌥ 1,yabai -m window --space 1 --focus;
Send window to 2,⌃ ⌥ 2,yabai -m window --space 2 --focus;
Send window to 3,⌃ ⌥ 3,yabai -m window --space 3 --focus;
Send window to 4,⌃ ⌥ 4,yabai -m window --space 4 --focus;
Send window to 5,⌃ ⌥ 5,yabai -m window --space 5 --focus;
Create space,⇧ ⌥ c,yabai -m space --create;
Create space left,⇧ ⌥ o,yabai -m space --move prev;
Create space right,⇧ ⌥ p,yabai -m space --move next;
Delete space,⇧ ⌥ d,yabai -m space --destroy;
Create space with window,⌃ ⇧ ⌥ c,yabai -m space --create; yabai -m window --space last; yabai -m space --focus last
